USPS|GEOID|GEOIDFQ|NAME|LOGRADE|HIGRADE|ALAND|AWATER|ALAND_SQMI|AWATER_SQMI|INTPTLAT|INTPTLONG
CA|0617340|9500000US0617340|Hollister School District|KG|08|92039061|42757|35.536|0.017|36.832631|-121.393985
CA|0617490|9500000US0617490|Hope Elementary School District|KG|06|25103466|17993719|9.693|6.947|34.41983|-119.766434
CA|0617520|9500000US0617520|Hope Elementary School District|KG|08|39076458|0|15.088|0.|36.00925|-119.059939
CA|0617580|9500000US0617580|Horicon Elementary School District|KG|08|393232506|148265980|151.828|57.246|38.702221|-123.357379
CA|0617620|9500000US0617620|Hornbrook Elementary School District|KG|08|615941110|5459042|237.816|2.108|41.946648|-122.634808
CA|0617640|9500000US0617640|Hot Springs Elementary School District|KG|08|1372485368|1961|529.92|0.001|35.849871|-118.401538
CA|0617760|9500000US0617760|Howell Mountain Elementary School District|KG|12|40628423|406835|15.687|0.157|38.585784|-122.444202
CA|0617850|9500000US0617850|Hueneme Elementary School District|KG|08|18968847|52787722|7.324|20.381|34.145319|-119.216569
CA|0617880|9500000US0617880|Hughes-Elizabeth Lakes Union Elementary School District|KG|08|289160963|1010446|111.646|0.39|34.664086|-118.497151
CA|0618030|9500000US0618030|Huntington Beach City Elementary School District|KG|08|35584912|101921896|13.739|39.352|33.673864|-118.025561
CA|0618120|9500000US0618120|Hydesville Elementary School District|KG|08|53105792|325857|20.504|0.126|40.550847|-124.081515
CA|0618160|9500000US0618160|Igo, Ono, Platina Union Elementary School District|KG|08|813077013|783236|313.931|0.302|40.444488|-122.751087
CA|0618240|9500000US0618240|Indian Diggings Elementary School District|KG|08|161356646|7661|62.3|0.003|38.566104|-120.501215
CA|0618510|9500000US0618510|Island Union Elementary School District|KG|08|106987047|15365|41.308|0.006|36.347775|-119.882304
CA|0618660|9500000US0618660|Jacoby Creek Elementary School District|KG|08|55230877|5056730|21.325|1.952|40.828749|-124.030065
CA|0618690|9500000US0618690|Jamestown Elementary School District|KG|08|414602535|15584467|160.079|6.017|37.84753|-120.486557
CA|0618730|9500000US0618730|Jamul-Dulzura Union Elementary School District|KG|08|418889448|3797831|161.734|1.466|32.694344|-116.775514
CA|0618780|9500000US0618780|Janesville Union Elementary School District|KG|08|322811527|22946960|124.638|8.86|40.286643|-120.470493
CA|0618810|9500000US0618810|Jefferson Elementary School District|KG|08|459152790|165519|177.28|0.064|36.512109|-121.126065
CA|0618840|9500000US0618840|Jefferson Elementary School District|KG|08|356671262|61969|137.712|0.024|37.625714|-121.437786
CA|0618870|9500000US0618870|Jefferson Elementary School District|KG|08|24582750|30852870|9.491|11.912|37.69021|-122.496269
CA|0619050|9500000US0619050|Johnstonville Elementary School District|KG|08|59062590|163328|22.804|0.063|40.352452|-120.581571
CA|0619140|9500000US0619140|Julian Union Elementary School District|KG|08|1597126294|3593990|616.654|1.388|33.047023|-116.459073
CA|0619170|9500000US0619170|Junction City Elementary School District|KG|08|369663088|631179|142.728|0.244|40.830359|-123.023489
CA|0619200|9500000US0619200|Junction Elementary School District|KG|08|44027281|367025|16.999|0.142|40.536096|-122.252516
CA|0619230|9500000US0619230|Junction Elementary School District|KG|08|2615504281|8832302|1009.852|3.41|41.389877|-123.231074
CA|0619380|9500000US0619380|Kentfield Elementary School District|KG|08|57435486|2016672|22.176|0.779|37.957153|-122.601212
CA|0619410|9500000US0619410|Kenwood Elementary School District|KG|06|60977037|107202|23.543|0.041|38.418728|-122.533094
CA|0619440|9500000US0619440|Keppel Union Elementary School District|KG|08|781147732|1938197|301.603|0.748|34.491512|-117.873175
CA|0619590|9500000US0619590|Kernville Union Elementary School District|KG|08|715347943|33290945|276.197|12.854|35.622875|-118.478825
CA|0619620|9500000US0619620|Keyes Union Elementary School District|KG|08|24237247|0|9.358|0.|37.547294|-120.907138
CA|0619680|9500000US0619680|King City Union Elementary School District|KG|08|609375286|10977979|235.281|4.239|36.242017|-121.122669
CA|0619740|9500000US0619740|Kings River Union Elementary School District|KG|08|35341746|54505|13.646|0.021|36.501124|-119.471305
CA|0619770|9500000US0619770|Kings River-Hardwick Union Elementary School District|KG|08|117252944|0|45.272|0.|36.402367|-119.620012
CA|0619800|9500000US0619800|Kingsburg Elementary Charter School District|KG|08|119389791|583544|46.097|0.225|36.495002|-119.587508
CA|0619860|9500000US0619860|Kirkwood Elementary School District|KG|08|48586070|939189|18.759|0.363|39.847143|-122.140925
CA|0619890|9500000US0619890|Kit Carson Union Elementary School District|KG|08|180145027|0|69.554|0.|36.321773|-119.532925
CA|0619920|9500000US0619920|Klamath River Union Elementary School District|KG|08|763222417|2407386|294.682|0.929|41.832327|-122.987963
CA|0619980|9500000US0619980|Kneeland Elementary School District|KG|08|317621524|428451|122.634|0.165|40.687248|-123.924133
CA|0620010|9500000US0620010|Knights Ferry Elementary School District|KG|08|238712875|250299|92.168|0.097|37.769055|-120.644814
CA|0620040|9500000US0620040|Knightsen Elementary School District|KG|08|75222375|4043710|29.044|1.561|37.965167|-121.6123
CA|0620190|9500000US0620190|La Habra City Elementary School District|KG|08|17350179|3669|6.699|0.001|33.926958|-117.943358
CA|0620250|9500000US0620250|La Mesa-Spring Valley School District|KG|08|65161342|3562800|25.159|1.376|32.748758|-116.995833
CA|0620310|9500000US0620310|Lafayette Elementary School District|KG|08|50559866|283790|19.521|0.11|37.897009|-122.114292
CA|0620430|9500000US0620430|Laguna Joint Elementary School District|KG|06|188870922|1380534|72.923|0.533|38.17513|-122.749
CA|0620460|9500000US0620460|Pacifica School District|KG|08|40469479|67644163|15.625|26.118|37.597825|-122.512862
CA|0620490|9500000US0620490|Lagunita Elementary School District|KG|06|43560998|111685|16.819|0.043|36.787296|-121.58901
CA|0620520|9500000US0620520|Lagunitas Elementary School District|KG|08|40830303|1066337|15.765|0.412|38.007691|-122.672184
CA|0620610|9500000US0620610|Lake Elementary School District|KG|08|28028736|225164|10.822|0.087|39.777032|-122.145358
CA|0620700|9500000US0620700|Lakeside Joint Elementary School District|KG|08|73731229|63816|28.468|0.025|37.197825|-122.072953
CA|0620730|9500000US0620730|Lakeside Union School District|KG|08|424577129|4752762|163.93|1.835|35.190042|-119.191687
CA|0620760|9500000US0620760|Lakeside Union Elementary School District|KG|08|142976948|33302|55.204|0.013|36.232859|-119.609233
CA|0620790|9500000US0620790|Lakeside Union Elementary School District|KG|08|175438558|6765970|67.737|2.612|32.907187|-116.881753
CA|0620850|9500000US0620850|Lamont Elementary School District|KG|08|60099829|125998|23.205|0.049|35.28247|-118.912658
CA|0620880|9500000US0620880|Lancaster Elementary School District|KG|08|215947818|2240900|83.378|0.865|34.74077|-118.121947
CA|0620910|9500000US0620910|Larkspur Elementary School District|KG|08|13200647|11756796|5.097|4.539|37.924139|-122.499366
CA|0621090|9500000US0621090|Lassen View Union Elementary School District|KG|08|941050079|2425058|363.341|0.936|40.194301|-121.856492
CA|0621180|9500000US0621180|Latrobe Elementary School District|KG|08|144788794|0|55.903|0.|38.56955|-120.982655
CA|0621210|9500000US0621210|Lawndale Elementary School District|KG|08|9384289|87867|3.623|0.034|33.889251|-118.346094
CA|0621240|9500000US0621240|Le Grand Union Elementary School District|KG|08|204247324|0|78.86|0.|37.215962|-120.201625
CA|0621330|9500000US0621330|Lemon Grove Elementary School District|KG|08|13981479|0|5.398|0.|32.735083|-117.036734
CA|0621360|9500000US0621360|Lemoore Union Elementary School District|KG|08|96407656|0|37.223|0.|36.320393|-119.79239
CA|0621420|9500000US0621420|Lennox Elementary School District|KG|08|4279836|0|1.652|0.|33.939026|-118.357587
CA|0621450|9500000US0621450|Richland Union School District|KG|08|220463258|0|85.121|0.|35.503967|-119.215544
CA|0621480|9500000US0621480|Lewiston Elementary School District|KG|08|262786216|7256634|101.462|2.802|40.746133|-122.802218
CA|0621540|9500000US0621540|Liberty Elementary School District|KG|06|21276943|0|8.215|0.|38.282633|-122.70952
CA|0621570|9500000US0621570|Liberty Elementary School District|KG|08|32527641|13107|12.559|0.005|36.26618|-119.304694
CA|0621900|9500000US0621900|Linns Valley-Poso Flat Union School District|KG|08|846574519|1214035|326.864|0.469|35.6017|-118.70953
CA|0621930|9500000US0621930|Little Lake City Elementary School District|KG|08|13682382|152782|5.283|0.059|33.93444|-118.082531
CA|0621960|9500000US0621960|Little Shasta Elementary School District|KG|08|416812277|2001183|160.932|0.773|41.698277|-122.305818
CA|0621990|9500000US0621990|Live Oak Elementary School District|KG|08|7832004|64734930|3.024|24.994|36.954599|-121.975531
CA|0622170|9500000US0622170|Livingston Union School District|KG|08|110665504|267203|42.728|0.103|37.356797|-120.746537
CA|0622320|9500000US0622320|Loleta Union Elementary School District|KG|08|59883927|12747028|23.121|4.922|40.665952|-124.240051
CA|0622350|9500000US0622350|Loma Prieta Joint Union Elementary School District|KG|08|117852499|343967|45.503|0.133|37.09373|-121.86242
CA|0622380|9500000US0622380|Las Lomitas Elementary School District|KG|08|21199431|85453|8.185|0.033|37.422146|-122.215902
CA|0622560|9500000US0622560|Loomis Union Elementary School District|KG|08|130472304|7999011|50.376|3.088|38.830841|-121.161785
CA|0622650|9500000US0622650|Los Altos Elementary School District|KG|08|51880890|0|20.031|0.|37.356777|-122.129145
CA|0622830|9500000US0622830|Los Gatos Union Elementary School District|KG|08|118403993|1954913|45.716|0.755|37.188829|-121.937989
CA|0622890|9500000US0622890|Los Nietos Elementary School District|KG|08|9059030|96549|3.498|0.037|33.962551|-118.068011
CA|0622920|9500000US0622920|Los Olivos Elementary School District|KG|08|910239286|585702|351.445|0.226|34.78984|-119.887326
CA|0622950|9500000US0622950|Lost Hills Union Elementary School District|KG|08|1313212519|4575491|507.034|1.767|35.661835|-119.929884
CA|0623010|9500000US0623010|Lowell Joint Elementary School District|KG|08|24487229|4740|9.455|0.002|33.948385|-117.960498
